Date,Campaign Name,ASIN,Impressions,Clicks,Spend,Sales,ACoS,ROAS
2026-02-28,Bluetooth Speaker Waterproof,B06GHI9012,9800,166,124.00,557.00,22.26,4.49
2026-02-23,Organic Coffee Beans Premium,B09XYZ7890,11600,196,154.70,917.50,16.86,5.93
2026-02-23,Yoga Mat Non-Slip Pro,B08ABC1234,7300,118,93.30,372.20,25.06,3.99
2026-02-23,LED Desk Lamp Smart,B07DEF5678,5900,88,68.20,270.40,25.22,3.96
2026-02-23,Bluetooth Speaker Waterproof,B06GHI9012,9300,158,118.10,530.40,22.26,4.49
2026-02-18,Organic Coffee Beans Premium,B09XYZ7890,11100,188,148.40,880.00,16.86,5.93
2026-02-18,Yoga Mat Non-Slip Pro,B08ABC1234,6900,112,88.60,353.40,25.06,3.99
2026-02-18,LED Desk Lamp Smart,B07DEF5678,5600,84,65.10,258.00,25.23,3.96
2026-02-18,Bluetooth Speaker Waterproof,B06GHI9012,8800,150,112.20,503.80,22.26,4.49
2026-02-13,Organic Coffee Beans Premium,B09XYZ7890,10600,180,142.10,842.50,16.86,5.93
2026-02-13,Yoga Mat Non-Slip Pro,B08ABC1234,6500,106,83.90,334.60,25.06,3.99
2026-02-13,LED Desk Lamp Smart,B07DEF5678,5300,80,62.00,245.60,25.23,3.96
2026-02-13,Bluetooth Speaker Waterproof,B06GHI9012,8300,142,106.30,477.20,22.26,4.49
2026-02-08,Organic Coffee Beans Premium,B09XYZ7890,10100,172,135.80,805.00,16.86,5.93
2026-02-08,Yoga Mat Non-Slip Pro,B08ABC1234,6100,100,79.20,316.00,25.06,3.99
2026-02-08,LED Desk Lamp Smart,B07DEF5678,5000,76,58.90,233.40,25.22,3.96
2026-02-08,Bluetooth Speaker Waterproof,B06GHI9012,7800,134,100.40,451.00,22.26,4.49
2026-02-03,Organic Coffee Beans Premium,B09XYZ7890,9600,164,129.50,767.50,16.86,5.93
2026-02-03,Yoga Mat Non-Slip Pro,B08ABC1234,5700,94,74.50,297.40,25.06,3.99
2026-02-03,LED Desk Lamp Smart,B07DEF5678,4700,72,55.80,221.00,25.23,3.96
2026-02-03,Bluetooth Speaker Waterproof,B06GHI9012,7300,126,94.50,424.40,22.26,4.49
2026-01-29,Organic Coffee Beans Premium,B09XYZ7890,9100,156,123.20,730.00,16.86,5.93
2026-01-29,Yoga Mat Non-Slip Pro,B08ABC1234,5300,88,69.80,278.60,25.06,3.99
2026-01-29,LED Desk Lamp Smart,B07DEF5678,4400,68,52.70,208.80,25.23,3.96
2026-01-29,Bluetooth Speaker Waterproof,B06GHI9012,6800,118,88.60,398.00,22.26,4.49
2026-01-24,Organic Coffee Beans Premium,B09XYZ7890,8600,148,116.90,693.00,16.86,5.93
2026-01-24,Yoga Mat Non-Slip Pro,B08ABC1234,4900,82,65.10,260.00,25.04,3.99
2026-01-24,LED Desk Lamp Smart,B07DEF5678,4100,64,49.60,196.60,25.23,3.96
2026-01-24,Bluetooth Speaker Waterproof,B06GHI9012,6300,110,82.70,371.60,22.26,4.49
